9656	223306.25+1049.6703i
9688	240285.49-6363.5384i
9720	247883.94-6968.269i
9752	267178.06-8131.5526i
9784	281818.26-11072.997i
9816	293109.29-13817.018i
9848	280658.81-18249.359i
9880	265970.51-13773.963i
9912	258658.57-11989.559i
9944	241004.84-17250.015i
9976	215705.4-17238.034i
10008	188499.35-16122.367i
10040	162118.89-16700.062i
10072	143670.28-18477.634i
10104	115012.18-8303.4933i
10136	100090.29-10260.381i
10168	84706.443-5859.9056i
10200	68939.416-8805.5724i
10232	59968.809-4519.1822i
10264	52417.236-4669.7871i
10296	44430.515-2248.8878i
10328	49527.862-6463.7762i
10360	44838.005-2924.3902i
10392	33503.456-1114.1117i
10424	44663.722-5253.0315i
10456	42926.919-6442.6978i
10488	49699.667-2381.9302i
10520	54434.415-3872.3934i
10552	66296.592+251.09705i
10584	71806.571-1000.1138i
10616	79061.129+702.49351i
10648	98119.357-1374.6363i
10680	103406.84+7014.9832i
10712	121148.55+5107.825i
10744	133858.42+6514.2374i
10776	152776.54+3740.19i
10808	168939.58+1750.6456i
10840	186190.56+2661.0795i
10872	196239.2-1346.883i
10904	206815.21-3318.3286i
10936	203750.45-7446.2304i
10968	210337.26-2929.8297i
11000	205588.51-7533.379i
11032	200878.01-6226.4945i
11064	184878.62-6714.167i
11096	168639.74-6995.2913i
11128	148447.03-7450.6351i
11160	138046.37-7118.6468i
11192	115604.12-5999.7035i
11224	93743.427-7303.5825i
11256	76627.951-5607.8924i
11288	66466.261-4759.5633i
11320	51925.678-5337.2861i
11352	47825.497-1214.6427i
11384	44176.571-2974.0007i
11416	41211.988-11557.193i
11448	43187.975-5809.75i
11480	42851.459-4218.0033i
11512	39065.338-5706.0632i
11544	43999.077-8394.1668i
11576	51745.834-3919.9837i
11608	48772.991-1514.6702i
11640	57211.106-494.91452i
11672	57868.029+2102.6213i
11704	53330.965+1325.9693i
11736	68678.978-3758.1149i
11768	57888.329+3530.8443i
11800	65182.848+169.4572i
11832	72839.467-1185.5707i
11864	75645.646+538.91585i
11896	78745.517-1509.9236i
11928	83277.213+1905.8911i
11960	92224.141+1456.6844i
11992	97543.624-1656.8994i
12024	97765.908-8227.1167i
12056	106187.44+3091.2182i
12088	94251.132-508.18321i
12120	102808.32-964.17122i
12152	95187.086-3800.6767i
12184	88184.825-3288.8306i
12216	83385.267-4212.2946i
12248	80450.865-1978.9181i
12280	64247.036-4664.4833i
12312	59908.227+3880.9142i
12344	61642.917+302.78015i
12376	43141.097+2829.3573i
12408	36204.764-1196.2829i
